time,symbol,buy/sell,quantity,price
20210104,000009.SZ,buy,2572,7.79
20210105,000002.SZ,sell,697,27.91
20210105,000004.SZ,buy,946,20.88
20210105,000006.SZ,buy,3554,5.44
20210106,000001.SZ,sell,1060,19.56
20210106,000006.SZ,sell,3554,5.38
20210107,000005.SZ,sell,7953,2.38
20210108,000001.SZ,buy,969,19.85
20210108,000002.SZ,buy,655,29.34
20210108,000004.SZ,sell,946,19.22
20210108,000009.SZ,sell,2572,7.36
20210112,000008.SZ,sell,0,2.53
20210115,000008.SZ,buy,7404,2.61
20210118,000001.SZ,sell,969,22.7
20210118,000006.SZ,buy,3648,5.34
20210118,000009.SZ,buy,2625,7.42
20210119,000001.SZ,buy,895,22.34
20210119,000004.SZ,buy,55,20.83
20210120,000005.SZ,buy,7,2.32
20210120,000008.SZ,sell,7404,2.69
20210122,000008.SZ,buy,7661,2.6
20210122,000009.SZ,sell,2625,7.71
20210125,000001.SZ,sell,895,22.49
20210125,000002.SZ,sell,655,29.36
20210125,000004.SZ,sell,55,19.25
20210125,000005.SZ,sell,7,2.21
20210125,000006.SZ,sell,3648,5.08
20210125,000007.SZ,sell,0,3.01
20210125,000009.SZ,buy,2643,7.49
20210126,000008.SZ,sell,7661,2.53
20210127,000009.SZ,sell,2643,7.1
20210128,000001.SZ,buy,855,22.81
20210129,000004.SZ,buy,963,20.26
20210202,000004.SZ,sell,963,18.17
20210203,000009.SZ,buy,2419,7.93
20210204,000002.SZ,buy,698,27.89
20210210,000001.SZ,sell,855,23.82
20210210,000006.SZ,buy,4043,4.85
20210218,000005.SZ,buy,9808,1.99
20210218,000008.SZ,buy,8135,2.29
20210301,000008.SZ,sell,8135,2.37
20210301,000009.SZ,sell,2419,9.75
20210303,000006.SZ,sell,4043,5.17
20210304,000001.SZ,buy,952,22.92
20210304,000008.SZ,buy,9093,2.4
20210305,000002.SZ,sell,698,31.54
20210305,000004.SZ,sell,0,18.54
20210305,000007.SZ,sell,0,3.62
20210308,000006.SZ,buy,4204,5.15
20210309,000001.SZ,sell,952,20.85
20210310,000006.SZ,sell,4204,5.0
20210310,000007.SZ,buy,4809,4.37
20210311,000005.SZ,sell,9808,2.17
20210311,000008.SZ,sell,9093,2.37
20210315,000009.SZ,buy,2322,8.93
20210316,000001.SZ,buy,948,21.66
20210316,000002.SZ,buy,624,32.9
20210316,000005.SZ,buy,8777,2.34
20210316,000006.SZ,buy,154,5.44
20210316,000007.SZ,sell,4809,4.27
20210316,000008.SZ,buy,8557,2.4
20210317,000009.SZ,sell,2322,8.96
20210318,000004.SZ,buy,1174,17.5
20210318,000007.SZ,buy,58,4.45
20210319,000001.SZ,sell,948,20.47
20210319,000008.SZ,sell,8557,2.33
20210322,000005.SZ,sell,8777,2.39
20210322,000009.SZ,sell,0,8.92
20210323,000002.SZ,sell,624,31.42
20210323,000004.SZ,sell,1174,17.59
20210323,000006.SZ,sell,154,5.28
20210323,000007.SZ,sell,58,4.14
20210324,000005.SZ,buy,7940,2.56
20210324,000009.SZ,buy,2190,9.28
20210325,000001.SZ,buy,979,20.75
20210325,000008.SZ,buy,8649,2.35
20210326,000001.SZ,sell,979,21.14
20210330,000001.SZ,buy,920,21.93
20210330,000006.SZ,buy,3738,5.4
20210330,000008.SZ,sell,8649,2.28
20210331,000002.SZ,buy,662,30.0
20210331,000004.SZ,buy,31,17.09
20210331,000005.SZ,sell,7940,2.42
20210331,000009.SZ,sell,2190,8.68
20210401,000004.SZ,sell,31,17.3
20210402,000002.SZ,sell,662,30.0
20210402,000007.SZ,buy,4879,4.05
20210406,000006.SZ,sell,3738,5.41
20210407,000001.SZ,sell,920,21.64
20210407,000004.SZ,buy,1118,17.59
20210407,000006.SZ,buy,3596,5.47
20210407,000008.SZ,buy,8370,2.35
20210407,000009.SZ,buy,1932,10.18
20210409,000005.SZ,buy,143,2.28
20210409,000006.SZ,sell,3596,5.32
20210409,000007.SZ,sell,4879,3.88
20210412,000005.SZ,sell,143,2.3
20210413,000004.SZ,sell,1118,18.8
20210413,000009.SZ,sell,1932,9.68
20210414,000004.SZ,buy,1025,18.98
20210414,000008.SZ,sell,8370,2.31
20210415,000009.SZ,buy,1966,9.91
20210416,000006.SZ,buy,3528,5.5
20210419,000002.SZ,buy,671,29.0
20210419,000005.SZ,buy,8360,2.33
20210420,000007.SZ,buy,42,3.95
20210422,000005.SZ,sell,8360,2.3
20210423,000002.SZ,sell,671,28.09
20210423,000004.SZ,sell,1025,18.64
20210423,000007.SZ,sell,42,3.73
20210423,000008.SZ,sell,0,2.28
20210426,000006.SZ,sell,3528,5.33
20210427,000009.SZ,sell,1966,10.52
20210428,000009.SZ,buy,1825,10.61
20210429,000001.SZ,sell,0,23.59
20210429,000007.SZ,buy,4915,3.94
20210430,000001.SZ,buy,832,23.29
20210506,000002.SZ,buy,685,27.92
20210506,000006.SZ,buy,3517,5.44
20210507,000007.SZ,sell,4915,3.37
20210507,000009.SZ,sell,1825,10.16
20210511,000002.SZ,sell,685,27.62
20210511,000008.SZ,buy,8131,2.29
20210512,000006.SZ,sell,3517,5.39
20210513,000001.SZ,sell,832,23.07
20210514,000006.SZ,buy,3396,5.46
20210514,000007.SZ,buy,4880,3.8
20210517,000005.SZ,buy,9863,1.88
20210518,000006.SZ,sell,3396,5.42
20210518,000008.SZ,sell,8131,2.27
20210519,000001.SZ,buy,766,23.6
20210519,000002.SZ,buy,675,26.77
20210519,000004.SZ,buy,1195,15.14
20210519,000005.SZ,sell,9863,1.82
20210519,000006.SZ,buy,3376,5.36
20210519,000009.SZ,buy,85,10.23
20210520,000006.SZ,sell,3376,5.29
20210520,000007.SZ,sell,4880,3.6
20210521,000002.SZ,sell,675,26.57
20210521,000004.SZ,sell,1195,15.1
20210524,000001.SZ,sell,766,23.48
20210525,000007.SZ,buy,4969,3.63
20210525,000009.SZ,sell,85,9.8
20210526,000001.SZ,buy,721,25.01
20210526,000004.SZ,buy,1126,16.02
20210526,000008.SZ,buy,7880,2.29
20210527,000005.SZ,buy,9871,1.83
20210528,000006.SZ,buy,1,5.29
20210601,000001.SZ,sell,721,23.92
20210601,000002.SZ,sell,0,26.6
20210601,000008.SZ,sell,7880,2.28
20210602,000005.SZ,sell,9871,1.8
20210602,000006.SZ,sell,1,5.24
20210604,000005.SZ,buy,9853,1.83
20210604,000007.SZ,sell,4969,3.65
20210604,000008.SZ,buy,7943,2.27
20210604,000009.SZ,sell,0,10.19
20210607,000001.SZ,buy,736,24.3
20210608,000008.SZ,sell,7943,2.27
20210608,000009.SZ,buy,1508,12.19
20210615,000001.SZ,sell,736,23.22
20210615,000005.SZ,sell,9853,1.82
20210615,000007.SZ,buy,5735,3.51
20210616,000007.SZ,sell,5735,3.51
20210618,000004.SZ,sell,1126,19.78
20210621,000006.SZ,buy,3751,5.24
20210622,000005.SZ,buy,10493,1.88
20210622,000007.SZ,buy,5219,3.78
20210622,000008.SZ,buy,6762,2.22
20210624,000006.SZ,sell,3751,5.03
20210625,000001.SZ,buy,807,23.36
20210625,000009.SZ,sell,1508,16.41
20210628,000002.SZ,buy,833,24.08
20210629,000002.SZ,sell,833,23.8
20210629,000008.SZ,sell,6762,2.23
20210629,000009.SZ,buy,1077,18.39
20210630,000001.SZ,sell,807,22.62
20210630,000005.SZ,sell,10493,1.88
20210630,000008.SZ,buy,8930,2.22
20210701,000004.SZ,buy,1115,17.73
20210705,000002.SZ,buy,763,23.82
20210705,000004.SZ,sell,1115,19.78
20210705,000008.SZ,sell,8930,2.19
20210705,000009.SZ,sell,1077,17.78
20210707,000002.SZ,sell,763,24.04
20210707,000004.SZ,buy,1093,18.63
20210707,000005.SZ,buy,10720,1.9
20210708,000008.SZ,buy,9500,2.16
20210708,000009.SZ,buy,876,20.38
20210712,000001.SZ,sell,0,21.16
20210712,000002.SZ,sell,0,23.82
20210712,000004.SZ,sell,1093,20.58
20210713,000004.SZ,buy,965,22.64
20210714,000006.SZ,buy,137,4.8
20210714,000007.SZ,sell,5219,4.67
20210714,000008.SZ,buy,9932,2.18
20210716,000006.SZ,sell,137,4.77
20210716,000008.SZ,sell,19432,2.17
20210716,000009.SZ,sell,876,21.95
20210719,000001.SZ,buy,1036,21.21
20210719,000007.SZ,buy,4550,4.83
20210720,000002.SZ,buy,901,23.09
20210721,000001.SZ,sell,1036,20.45
20210721,000005.SZ,sell,10720,2.12
20210722,000002.SZ,sell,901,23.21
20210722,000007.SZ,sell,4550,4.73
20210722,000008.SZ,buy,10181,2.18
20210723,000005.SZ,buy,10228,2.15
20210723,000009.SZ,buy,948,23.18
20210726,000004.SZ,sell,965,22.31
20210726,000005.SZ,sell,10228,2.16
20210726,000006.SZ,buy,4810,4.56
20210726,000008.SZ,sell,10181,2.13
20210728,000005.SZ,buy,10294,2.05
20210728,000006.SZ,sell,4810,4.42
20210728,000009.SZ,sell,948,19.27
20210729,000005.SZ,sell,10294,2.06
20210802,000007.SZ,buy,4986,4.14
20210803,000001.SZ,buy,1153,17.89
20210803,000002.SZ,buy,988,20.88
20210803,000004.SZ,buy,860,23.99
20210803,000005.SZ,buy,10020,2.06
20210803,000009.SZ,buy,1,20.7
20210804,000006.SZ,buy,4,4.47
20210804,000007.SZ,sell,4986,4.04
20210804,000008.SZ,buy,9685,2.08
20210805,000005.SZ,sell,10020,2.02
20210806,000001.SZ,sell,1153,17.86
20210809,000002.SZ,sell,988,22.28
20210809,000004.SZ,sell,860,22.65
20210809,000007.SZ,buy,4678,4.32
20210810,000001.SZ,buy,1041,19.73
20210810,000002.SZ,buy,939,21.86
20210812,000005.SZ,buy,9993,2.06
20210812,000009.SZ,sell,1,24.5
20210813,000007.SZ,sell,4678,4.03
20210813,000008.SZ,sell,9685,2.09
20210817,000008.SZ,buy,9962,2.06
20210818,000001.SZ,sell,1041,20.62
20210818,000006.SZ,sell,4,4.62
20210819,000001.SZ,buy,1024,20.34
20210819,000007.SZ,buy,4762,4.14
20210820,000007.SZ,sell,4762,4.13
20210820,000009.SZ,buy,732,26.87
20210823,000004.SZ,sell,0,20.22
20210823,000005.SZ,sell,9993,2.09
20210823,000008.SZ,buy,9509,2.15
20210824,000001.SZ,sell,1024,19.36
20210824,000002.SZ,sell,939,23.02
20210824,000007.SZ,buy,4929,4.19
20210825,000005.SZ,buy,9672,2.16
20210825,000006.SZ,buy,73,4.64
20210830,000006.SZ,sell,73,4.5
20210830,000009.SZ,sell,732,27.03
20210831,000007.SZ,sell,4929,4.11
20210901,000004.SZ,buy,1150,18.58
20210902,000004.SZ,sell,1150,18.65
20210903,000002.SZ,buy,1030,20.93
20210903,000006.SZ,buy,4037,4.68
20210907,000005.SZ,sell,9672,2.29
20210908,000002.SZ,sell,1030,20.33
20210908,000004.SZ,buy,1101,19.52
20210910,000005.SZ,buy,9599,2.25
20210913,000009.SZ,sell,0,20.4
20210914,000004.SZ,sell,1101,20.49
20210914,000005.SZ,sell,9599,2.27
20210915,000006.SZ,sell,4037,4.68
20210915,000008.SZ,sell,19471,2.42
20210916,000001.SZ,sell,0,19.08
20210916,000004.SZ,buy,1111,19.86
20210916,000005.SZ,buy,9681,2.28
20210917,000002.SZ,sell,0,19.07
20210917,000005.SZ,sell,9681,2.26
20210917,000009.SZ,buy,1026,21.5
20210922,000009.SZ,sell,1026,22.5
20210923,000004.SZ,sell,1111,20.0
20210924,000002.SZ,buy,1095,20.32
20210924,000005.SZ,buy,9854,2.26
